Problem type,Reported date,Primary action type,Primary action date,Assessment status,Repair date,Lat,Lng,Case status,Last updated
Markings - defective,2021-04-14 00:00:00,Assess,21/04/2021,Assessed,14/05/2021,57.1466581587276,-2.21996242180808,open,18/05/2022
Markings - defective,2021-12-14 00:00:00,Assess,21/12/2021,Assessed,13/01/2022,57.2022748856981,-2.21930215135217,open,03/02/2022
Pothole,2021-12-16 00:00:00,Assess,23/12/2021,Assessed,15/01/2022,57.1692281154472,-2.2152578830719,open,31/03/2022
Other - road related,2022-01-03 00:00:00,Assess,10/01/2022,,,57.1008084033465,-2.2637236117771,open,03/01/2022
Pothole,2022-01-04 00:00:00,Assess,11/01/2022,,,57.1090688629663,-2.08690345287323,open,04/01/2022
Other - road related,2022-01-09 00:00:00,Assess,16/01/2022,,,57.1566430175235,-2.14572429656982,open,09/01/2022
Pothole,2022-01-11 00:00:00,Assess,18/01/2022,,,57.205243924357,-2.10515856742859,open,11/01/2022
Markings - defective,2022-01-12 00:00:00,Assess,19/01/2022,Assessed,11/02/2022,57.1990005787552,-2.21478581428528,open,18/01/2022
Markings - defective,2022-01-12 00:00:00,Assess,19/01/2022,,,57.0989124741557,-2.08552479743958,open,12/01/2022
Markings - defective,2022-01-12 00:00:00,Assess,19/01/2022,Assessed,12/02/2022,57.2164152022482,-2.18714833259583,open,18/01/2022
Markings - defective,2022-01-13 00:00:00,Assess,20/01/2022,Assessed,12/02/2022,57.1988105058758,-2.21428155899048,open,13/01/2022
Pothole,2022-01-16 00:00:00,Assess,23/01/2022,,,57.1192563090667,-2.11183190345764,open,16/01/2022
"Utility cover - broken, high/low or missing",2022-01-17 00:00:00,Make safe,17/01/2022,,,57.1157358374555,-2.11613416671753,open,17/01/2022
Pothole,2022-01-18 00:00:00,Assess,25/01/2022,,,57.1301158698693,-2.21426546573639,open,18/01/2022
Markings - defective,2022-01-19 00:00:00,Assess,26/01/2022,Assessed,18/02/2022,57.1238884237716,-2.10096689748752,open,19/01/2022
Other - road related,2022-01-19 00:00:00,Assess,26/01/2022,,,57.1282894341861,-2.07547187805176,open,19/01/2022
Pothole,2022-01-19 00:00:00,Assess,26/01/2022,,,57.0976419159066,-2.27499604225159,open,19/01/2022
Markings - defective,2022-01-20 00:00:00,Assess,27/01/2022,Assessed,19/02/2022,57.1983733470983,-2.21266052290048,open,20/01/2022
Other - road related,2022-01-23 00:00:00,Assess,30/01/2022,,,57.1501644860092,-2.0887166261673,open,23/01/2022
Other - road related,2022-01-24 00:00:00,Assess,31/01/2022,,,57.1199947520005,-2.14151859283447,open,24/01/2022
Uneven surface or cracking,2022-01-24 00:00:00,Assess,31/01/2022,Assessed,23/02/2022,57.151871388864,-2.1012353896549,open,25/01/2022
Pothole,2022-01-25 00:00:00,Assess,01/02/2022,,,57.1539848574018,-2.22052574157715,open,25/01/2022
Markings - defective,2022-01-25 00:00:00,Assess,01/02/2022,Assessed,24/02/2022,57.1574477025124,-2.10884525160509,open,03/02/2022
"Cobbles - damaged, missing or uneven",2022-01-25 00:00:00,Assess,01/02/2022,,,57.139673966117,-2.08941912108457,open,25/01/2022
Other - road related,2022-01-27 00:00:00,Assess,03/02/2022,,,57.1296086377421,-2.0789909362793,open,27/01/2022
Pothole,2022-01-27 00:00:00,Assess,03/02/2022,,,57.1574035564205,-2.22368538379669,open,27/01/2022
Pothole,2022-01-28 00:00:00,Assess,04/02/2022,,,57.1575786378849,-2.22370147705078,open,28/01/2022
Other - road related,2022-01-28 00:00:00,Assess,04/02/2022,,,57.1578224717007,-2.14791834354401,open,28/01/2022
Pothole,2022-01-31 00:00:00,Assess,07/02/2022,,,57.1355860745783,-2.11370408535004,open,31/01/2022
Lit bollard - damaged or missing,2022-01-31 00:00:00,Assess,07/02/2022,,,57.1347093327059,-2.07646429538727,open,31/01/2022
Other - road related,2022-02-01 00:00:00,Assess,08/02/2022,,,57.1299985638172,-2.09330049536447,open,01/02/2022
Crash barrier - damaged or broken,2022-02-02 00:00:00,Assess,09/02/2022,,,57.15080777415,-2.17419862747192,open,02/02/2022
Markings - defective,2022-02-03 00:00:00,Assess,10/02/2022,Assessed,05/03/2022,57.1203921800069,-2.13659405708313,open,09/02/2022
Other - road related,2022-02-03 00:00:00,Assess,10/02/2022,,,57.1553454199203,-2.16971397399902,open,03/02/2022
Bollard - damaged or missing,2022-02-03 00:00:00,Assess,10/02/2022,,,57.1364627350995,-2.06929206848145,open,03/02/2022
Other - road related,2022-02-05 00:00:00,Assess,12/02/2022,,,57.1497821088993,-2.08043932914734,open,05/02/2022
Markings - defective,2022-02-07 00:00:00,Assess,14/02/2022,Assessed,10/03/2022,57.159451789437,-2.11255073547363,open,08/02/2022
Other - road related,2022-02-07 00:00:00,Assess,14/02/2022,,,57.144060832951,-2.24515914916992,open,07/02/2022
Markings - defective,2022-02-08 00:00:00,Assess,15/02/2022,Assessed,10/03/2022,57.1600587764336,-2.1142566204071,open,09/02/2022
Pothole,2022-02-09 00:00:00,Assess,16/02/2022,,,57.205927581705,-2.17279493110254,open,09/02/2022
Markings - defective,2022-02-10 00:00:00,Assess,17/02/2022,,,57.1653106063292,-2.09342122077942,open,10/02/2022
Uneven surface or cracking,2022-02-11 00:00:00,Assess,18/02/2022,,,57.204195555553,-2.11203575134277,open,11/02/2022
Other - road related,2022-02-11 00:00:00,Assess,18/02/2022,,,57.1503105248327,-2.1649181842804,open,11/02/2022
Other - road related,2022-02-14 00:00:00,Assess,21/02/2022,,,57.166935125445,-2.10662841796875,open,14/02/2022
Pothole,2022-02-14 00:00:00,Assess,21/02/2022,,,57.1295131954404,-2.11739480495453,open,14/02/2022
Other - road related,2022-02-15 00:00:00,Assess,22/02/2022,,,57.2089384016403,-2.18839287757874,open,15/02/2022
Pothole,2022-02-15 00:00:00,Assess,22/02/2022,,,57.1529898620987,-2.12701857089996,open,15/02/2022
Markings - defective,2022-02-16 00:00:00,Assess,23/02/2022,Assessed,18/03/2022,57.1772072832214,-2.16815788562599,open,17/02/2022
Markings - defective,2022-02-16 00:00:00,Assess,23/02/2022,Assessed,19/03/2022,57.1584933551416,-2.11125612269825,open,17/02/2022
Pothole,2022-02-18 00:00:00,Assess,25/02/2022,,,57.1463004140141,-2.10331857204437,open,18/02/2022
Crash barrier - damaged or broken,2022-02-19 00:00:00,Assess,26/02/2022,,,57.1866828087332,-2.20061838626862,open,19/02/2022
Other - road related,2022-02-20 00:00:00,Assess,27/02/2022,,,57.1415811010458,-2.1148681640625,open,20/02/2022
Bollard - damaged or missing,2022-02-21 00:00:00,Assess,28/02/2022,,,57.1364222245048,-2.06937789916992,open,21/02/2022
Markings - defective,2022-02-21 00:00:00,Assess,28/02/2022,,,57.1176943684956,-2.17640576216581,open,21/02/2022
Pothole,2022-02-22 00:00:00,Assess,01/03/2022,,,57.1827229065961,-2.10255268292713,open,22/02/2022
Markings - defective,2022-02-23 00:00:00,Assess,02/03/2022,,,57.1326562931412,-2.09497690200806,open,23/02/2022
Pothole,2022-02-23 00:00:00,Assess,02/03/2022,,,57.1276589820208,-2.14362144470215,open,23/02/2022
Pothole,2022-02-24 00:00:00,Assess,03/03/2022,Assessed,26/03/2022,57.2115548762285,-2.18343079090118,open,08/03/2022
Markings - defective,2022-02-25 00:00:00,Assess,04/03/2022,Assessed,27/03/2022,57.1529346590168,-2.10301907469329,open,25/02/2022
Other - road related,2022-02-26 00:00:00,Assess,05/03/2022,,,57.1470117800977,-2.09725141525269,open,26/02/2022
Pothole,2022-02-28 00:00:00,Assess,07/03/2022,,,57.156236886733,-2.12868690490723,open,28/02/2022
Markings - defective,2022-02-28 00:00:00,Assess,07/03/2022,,,57.163006068405,-2.16404842697102,open,28/02/2022
Other - road related,2022-03-01 00:00:00,Assess,08/03/2022,,,57.1360094943323,-2.10645636409936,open,01/03/2022
Pothole,2022-03-02 00:00:00,Assess,09/03/2022,,,57.1375917108139,-2.10933208465576,open,02/03/2022
Markings - defective,2022-03-02 00:00:00,Assess,09/03/2022,Assessed,01/04/2022,57.1418546912944,-2.11265802383423,open,03/03/2022
Pothole,2022-03-03 00:00:00,Assess,10/03/2022,,,57.1607316251317,-2.09071755409241,open,03/03/2022
Uneven surface or cracking,2022-03-04 00:00:00,Assess,11/03/2022,,,57.2053604724737,-2.1098792552948,open,04/03/2022
Pothole,2022-03-04 00:00:00,Assess,11/03/2022,Assessed,03/04/2022,57.1494608363246,-2.1357786655426,open,08/03/2022
Pothole,2022-03-04 00:00:00,Assess,11/03/2022,,,57.1393643815353,-2.10391402244568,open,04/03/2022
Markings - defective,2022-03-06 00:00:00,Assess,13/03/2022,Assessed,05/04/2022,57.1520825519062,-2.0991218727977,open,07/03/2022
Pothole,2022-03-07 00:00:00,Assess,14/03/2022,,,57.1470152813335,-2.14206576347351,open,07/03/2022
Pothole,2022-03-08 00:00:00,Assess,15/03/2022,Assessed,07/04/2022,57.1653072603897,-2.09361970424652,open,08/03/2022
Pothole,2022-03-08 00:00:00,Assess,15/03/2022,,,57.1493572610164,-2.14250564575195,open,08/03/2022
Other - road related,2022-03-08 00:00:00,Assess,15/03/2022,,,57.1744395481973,-2.0913290977478,open,08/03/2022
Pothole,2022-03-09 00:00:00,Assess,16/03/2022,,,57.1888995698302,-2.1053409576416,open,09/03/2022
Markings - defective,2022-03-09 00:00:00,Assess,16/03/2022,,,57.1236689465586,-2.11394548417161,open,09/03/2022
